,resolver_ip,port,handshake_time,resolution_time,status
0,178.18.54.141,784,799.0,120.999,[1]
1,178.18.54.141,784,814.997,104.998,[1]
2,129.151.170.218,784,13.997,271.999,[1]
3,129.151.170.218,784,95.003,270.0,[1]
4,172.105.16.134,784,684.997,35.001,[1]
5,172.105.16.134,784,825.996,39.998,[1]
6,188.68.45.12,784,21.004,99.997,[1]
7,188.68.45.12,784,949.0,102.998,[1]
8,23.94.216.128,784,867.997,96.995,[1]
9,23.94.216.128,784,686.017,93.997,[1]
10,106.12.119.30,784,788.0,249.996,[1]
11,106.12.119.30,784,980.0,228.999,[1]
12,140.238.65.73,784,718.999,83.0,[1]
13,140.238.65.73,784,715.0,83.003,[1]
14,139.59.232.4,784,75.0,257.998,[1]
15,139.59.232.4,784,94.992,261.054,[1]
16,37.114.37.199,784,769.001,103.001,[1]
17,37.114.37.199,784,782.998,105.997,[1]
18,132.145.51.148,784,698.999,86.998,[1]
19,132.145.51.148,784,715.001,88.999,[1]
20,5.181.76.56,784,594.002,78.001,[1]
21,5.181.76.56,784,599.998,86.0,[1]
22,94.140.14.140,784,860.996,92.996,[1]
23,94.140.14.140,784,704.998,92.035,[1]
24,94.140.14.140,8853,615.998,93.04,[1]
25,94.140.14.140,8853,724.999,96.999,[1]
26,94.140.14.140,853,634.997,93.997,[1]
27,94.140.14.140,853,624.996,93.998,[1]
28,138.2.79.123,784,753.001,236.998,[1]
29,138.2.79.123,784,907.0,267.999,[1]
30,129.154.52.68,784,833.999,219.999,[1]
31,129.154.52.68,784,876.0,234.991,[1]
32,217.160.172.238,784,949.997,105.0,[1]
33,217.160.172.238,784,28.002,103.0,[1]
34,146.56.176.39,784,888.001,209.998,[1]
35,146.56.176.39,784,859.002,204.999,[1]
36,178.18.54.141,784,752.0,103.997,[1]
37,178.18.54.141,784,772.0,103.0,[1]
38,129.151.170.218,784,913.998,267.0,[1]
39,129.151.170.218,784,811.997,256.999,[1]
40,172.105.16.134,784,679.997,36.004,[1]
41,172.105.16.134,784,596.0,49.005,[1]
42,188.68.45.12,784,752.0,101.002,[1]
43,188.68.45.12,784,733.998,100.999,[1]
44,23.94.216.128,784,619.005,97.998,[1]
45,23.94.216.128,784,616.998,92.996,[1]
46,106.12.119.30,784,753.948,229.999,[1]
47,106.12.119.30,784,785.997,350.997,[1]
48,140.238.65.73,784,693.0,85.982,[1]
49,140.238.65.73,784,734.507,81.001,[1]
50,139.59.232.4,784,79.546,394.0,[1]
51,139.59.232.4,784,81.999,260.0,[1]
52,37.114.37.199,784,786.002,103.999,[1]
53,37.114.37.199,784,824.0,124.0,[1]
54,5.181.76.56,784,759.001,83.998,[1]
55,132.145.51.148,784,879.0,84.0,[1]
56,5.181.76.56,784,620.994,86.007,[1]
57,132.145.51.148,784,692.998,85.965,[1]
58,94.140.14.140,784,662.999,147.999,[1]
59,94.140.14.140,784,630.001,98.0,[1]
60,94.140.14.140,8853,621.998,99.0,[1]
61,94.140.14.140,8853,677.001,108.999,[1]
62,94.140.14.140,853,610.998,93.001,[1]
63,94.140.14.140,853,618.994,95.001,[1]
64,138.2.79.123,784,756.999,251.944,[1]
65,138.2.79.123,784,843.001,250.0,[1]
66,129.154.52.68,784,741.0,237.996,[1]
67,129.154.52.68,784,755.999,237.992,[1]
68,217.160.172.238,784,725.999,103.004,[1]
69,217.160.172.238,784,822.002,97.001,[1]
70,146.56.176.39,784,721.997,203.987,[1]
71,146.56.176.39,784,734.995,204.0,[1]
72,178.18.54.141,784,743.998,101.003,[1]
73,178.18.54.141,784,648.998,145.001,[1]
74,129.151.170.218,784,774.998,256.034,[1]
75,129.151.170.218,784,769.998,256.037,[1]
76,172.105.16.134,784,701.997,37.998,[1]
77,172.105.16.134,784,656.0,38.997,[1]
78,188.68.45.12,784,747.999,103.997,[1]
79,188.68.45.12,784,770.004,104.998,[1]
80,23.94.216.128,784,706.999,102.0,[1]
81,23.94.216.128,784,614.0,114.002,[1]
82,106.12.119.30,784,349.0,225.999,[1]
83,106.12.119.30,784,851.999,244.039,[1]
84,140.238.65.73,784,681.012,87.999,[1]
85,140.238.65.73,784,683.961,82.0,[1]
86,139.59.232.4,784,36.996,268.001,[1]
87,139.59.232.4,784,37.254,262.002,[1]
88,37.114.37.199,784,817.0,141.996,[1]
89,37.114.37.199,784,748.0,101.998,[1]
90,132.145.51.148,784,708.994,88.999,[1]
91,132.145.51.148,784,740.0,99.0,[1]
92,5.181.76.56,784,747.002,105.999,[1]
93,5.181.76.56,784,614.0,88.996,[1]
94,94.140.14.140,784,705.002,92.998,[1]
95,94.140.14.140,784,718.001,95.0,[1]
96,94.140.14.140,8853,757.998,92.997,[1]
97,94.140.14.140,8853,812.0,97.996,[1]
98,94.140.14.140,853,718.999,93.994,[1]
99,94.140.14.140,853,726.99,126.999,[1]
100,138.2.79.123,784,91.994,236.999,[1]
101,138.2.79.123,784,772.015,244.0,[1]
102,129.154.52.68,784,986.0,234.001,[1]
103,129.154.52.68,784,798.999,361.001,[1]
104,217.160.172.238,784,765.997,99.999,[1]
105,217.160.172.238,784,736.0,98.992,[1]
106,146.56.176.39,784,954.998,217.998,[1]
107,146.56.176.39,784,748.0,217.001,[1]
108,180.231.175.221,853,965.999,205.998,[1]
109,180.231.175.221,853,840.001,217.999,[1]
110,137.184.250.100,784,127.003,489.999,[1]
111,137.184.250.100,784,46.998,388.038,[1]
112,185.187.170.116,853,782.0,102.012,[1]
113,185.187.170.116,853,739.999,99.997,[1]
114,103.237.147.61,784,31.994,248.0,[1]
115,103.237.147.61,784,119.998,258.04,[1]
116,85.214.195.112,784,713.99,102.0,[1]
117,85.214.195.112,784,625.997,107.001,[1]
118,20.212.115.110,8853,780.0,254.016,[1]
119,20.212.115.110,8853,763.002,259.0,[1]
120,188.72.209.168,784,804.998,86.0,[1]
121,188.72.209.168,784,770.003,92.034,[1]
122,193.123.252.172,784,945.997,211.999,[1]
123,193.123.252.172,784,718.001,198.999,[1]
124,62.109.2.197,784,802.995,118.997,[1]
125,62.109.2.197,784,767.998,115.996,[1]
126,5.181.48.19,784,819.997,107.993,[1]
127,5.181.48.19,784,632.996,100.998,[1]
128,160.251.96.67,784,87.998,165.0,[1]
129,160.251.96.67,784,713.998,169.998,[1]
130,188.68.59.46,784,839.993,98.999,[1]
131,188.68.59.46,784,843.0,104.994,[1]
132,47.108.131.255,784,2.0,249.998,[1]
133,47.108.131.255,784,939.0,242.038,[1]
134,152.70.189.89,784,746.996,98.995,[1]
135,152.70.189.89,784,618.0,110.997,[1]
136,54.179.190.143,784,2.998,256.002,[1]
137,54.179.190.143,784,794.001,236.036,[1]
138,176.103.134.4,784,776.0,122.001,[1]
139,176.103.134.4,784,678.999,121.983,[1]
140,176.103.134.4,8853,761.004,110.001,[1]
141,176.103.134.4,8853,781.999,110.999,[1]
142,176.103.134.4,853,801.989,111.998,[1]
143,176.103.134.4,853,652.999,118.004,[1]
144,185.253.5.254,8853,631.005,84.0,[1]
145,185.253.5.254,8853,623.998,82.002,[1]
146,82.118.227.235,784,821.0,127.001,[1]
147,82.118.227.235,784,680.998,130.999,[1]
148,140.238.26.177,784,946.0,206.997,[1]
149,140.238.26.177,784,204.004,212.998,[1]
150,132.226.19.64,784,972.999,209.0,[1]
151,185.229.251.250,784,703.0,83.995,[1]
152,185.229.251.250,784,732.996,88.993,[1]
153,45.67.32.107,784,676.0,183.999,[1]
154,45.67.32.107,784,671.999,131.998,[1]
155,188.165.4.138,784,694.997,81.997,[1]
156,188.165.4.138,784,771.999,83.0,[1]
157,198.255.103.36,784,827.998,77.003,[1]
158,198.255.103.36,784,619.002,74.998,[1]
159,132.145.83.120,784,966.0,211.0,[1]
160,132.145.83.120,784,810.002,218.998,[1]
161,176.103.130.136,784,621.998,37.997,[1]
162,194.87.238.247,784,151.999,123.044,[1]
163,176.103.130.136,784,577.0,62.998,[1]
164,194.87.238.247,784,816.997,134.001,[1]
165,176.103.130.136,8853,595.998,33.995,[1]
166,176.103.130.136,8853,573.056,33.002,[1]
167,176.103.130.136,853,615.999,38.0,[1]
168,176.103.130.136,853,568.006,39.999,[1]
169,180.93.137.1,784,72.997,271.044,[1]
170,180.93.137.1,784,45.997,246.998,[1]
171,34.80.137.209,8853,63.001,192.0,[1]
172,209.17.118.5,784,266.0,248.002,[1]
173,34.80.137.209,8853,744.999,200.001,[1]
174,209.17.118.5,784,313.995,275.999,[1]
175,129.153.82.120,784,689.002,85.998,[1]
176,129.153.82.120,784,625.001,93.001,[1]
177,158.101.149.111,784,30.002,179.998,[1]
178,158.101.149.111,784,899.086,170.002,[1]
179,176.103.130.134,784,622.997,53.0,[1]
180,176.103.130.134,784,606.997,39.995,[1]
181,176.103.130.134,8853,645.001,49.0,[1]
182,176.103.130.134,8853,601.003,36.998,[1]
183,176.103.130.134,853,626.0,33.005,[1]
184,176.103.130.134,853,572.0,32.997,[1]
185,185.253.5.0,8853,664.0,81.998,[1]
186,185.253.5.0,8853,664.0,89.995,[1]
187,213.32.85.185,784,721.0,81.004,[1]
188,213.32.85.185,784,624.979,82.0,[1]
189,146.56.137.68,784,984.997,217.004,[1]
190,146.56.137.68,784,767.996,229.999,[1]
191,118.163.170.2,784,964.0,195.0,[1]
192,118.163.170.2,784,989.999,225.002,[1]
193,176.103.134.149,784,768.997,119.003,[1]
194,176.103.134.149,784,660.998,123.994,[1]
195,176.103.134.149,8853,934.994,110.998,[1]
196,176.103.134.149,8853,870.001,125.001,[1]
197,176.103.134.149,853,215.004,108.999,[1]
198,176.103.134.149,853,885.999,112.999,[1]
199,176.103.130.130,784,870.003,38.999,[1]
200,176.103.130.130,784,713.0,48.995,[1]
201,176.103.130.130,8853,740.988,34.0,[1]
202,176.103.130.130,8853,696.998,37.998,[1]
203,176.103.130.130,853,775.0,32.001,[1]
204,176.103.130.130,853,682.996,32.0,[1]
205,35.224.3.28,784,745.0,44.003,[1]
206,35.224.3.28,784,708.997,48.995,[1]
207,103.82.26.64,784,34.999,297.996,[1]
208,103.82.26.64,784,816.996,417.997,[1]
209,176.103.134.134,784,776.998,138.001,[1]
210,176.103.134.134,784,673.999,119.002,[1]
211,176.103.134.134,8853,752.997,115.998,[1]
212,176.103.134.134,8853,658.001,111.006,[1]
213,176.103.134.134,853,914.001,130.999,[1]
214,176.103.134.134,853,649.998,115.998,[1]
215,132.145.123.5,784,896.0,165.0,[1]
216,132.145.123.5,784,749.997,206.998,[1]
217,150.136.108.85,784,542.998,43.996,[1]
218,150.136.108.85,784,531.998,25.01,[1]
219,82.165.167.96,784,724.998,108.0,[1]
220,82.165.167.96,784,626.994,103.998,[1]
221,103.172.17.226,784,91.995,246.042,[1]
222,176.103.130.149,784,592.997,33.019,[1]
223,103.172.17.226,784,214.996,232.998,[1]
224,176.103.130.149,784,600.997,32.998,[1]
225,176.103.130.149,8853,591.997,32.0,[1]
226,176.103.130.149,8853,560.995,36.993,[1]
227,152.67.204.139,784,904.999,189.003,[1]
228,152.67.204.139,784,964.001,198.996,[1]
229,176.103.130.149,853,703.999,45.008,[1]
230,176.103.130.149,853,641.997,31.002,[1]
231,34.216.213.52,784,685.999,77.996,[1]
232,34.216.213.52,784,593.996,80.998,[1]
233,51.89.26.38,784,718.006,88.998,[1]
234,51.89.26.38,784,673.002,90.996,[1]
235,94.140.15.16,784,812.002,93.999,[1]
236,94.140.15.16,784,741.998,91.997,[1]
237,94.140.15.16,8853,724.997,92.997,[1]
238,94.140.15.16,8853,738.997,96.002,[1]
239,94.140.15.16,853,730.0,95.996,[1]
240,94.140.15.16,853,616.998,100.996,[1]
241,50.7.14.7,784,872.003,181.993,[1]
242,50.7.14.7,784,701.0,177.001,[1]
243,31.44.0.4,784,707.0,81.997,[1]
244,103.227.141.70,784,139.003,267.993,[1]
245,103.227.141.70,784,798.998,268.999,[1]
246,31.44.0.4,784,702.998,94.002,[1]
247,176.103.134.34,784,818.997,122.035,[1]
248,176.103.134.34,784,649.995,115.001,[1]
249,176.103.134.34,8853,737.998,116.002,[1]
250,176.103.134.34,8853,694.301,109.958,[1]
251,31.184.206.207,784,715.995,86.001,[1]
252,176.103.134.34,853,782.999,120.0,[1]
253,31.184.206.207,784,712.003,82.997,[1]
254,176.103.134.34,853,651.995,119.0,[1]
255,140.238.10.79,784,951.995,206.002,[1]
256,140.238.10.79,784,729.999,237.997,[1]
257,109.173.22.228,784,657.0,130.001,[1]
258,109.173.22.228,784,657.997,131.997,[1]
259,152.67.162.236,784,970.996,239.999,[1]
260,152.67.162.236,784,838.0,327.995,[1]
261,51.195.103.20,784,711.999,91.966,[1]
262,51.195.103.20,784,735.0,93.998,[1]
263,152.67.205.196,784,904.998,188.995,[1]
264,152.67.205.196,784,722.999,206.0,[1]
265,8.210.148.24,784,85.994,231.997,[1]
266,8.210.148.24,784,7.001,217.003,[1]
267,8.210.148.24,8853,23.996,239.039,[1]
268,8.210.148.24,8853,962.994,217.0,[1]
269,77.68.21.94,784,782.0,86.997,[1]
270,77.68.21.94,784,613.995,99.996,[1]
271,152.69.185.118,784,109.999,238.996,[1]
272,152.69.185.118,784,752.997,250.998,[1]
273,104.238.154.123,784,741.997,72.0,[1]
274,104.238.154.123,784,675.998,69.056,[1]
275,176.103.134.150,784,882.0,114.998,[1]
276,176.103.134.150,784,644.997,117.997,[1]
277,176.103.134.150,8853,773.032,116.996,[1]
278,176.103.134.150,8853,632.997,112.001,[1]
279,176.103.134.150,853,954.999,115.998,[1]
280,176.103.134.150,853,752.997,131.996,[1]
281,152.69.204.173,784,873.991,180.001,[1]
282,152.69.204.173,784,901.963,174.001,[1]
283,172.105.101.43,784,639.001,40.012,[1]
284,172.105.101.43,784,567.994,43.001,[1]
285,139.162.138.4,784,724.998,91.999,[1]
286,139.162.138.4,784,632.0,100.036,[1]
287,60.188.58.90,784,934.988,205.999,[1]
288,60.188.58.90,784,805.995,212.996,[1]
289,51.75.162.101,784,655.003,78.0,[1]
290,51.75.162.101,784,611.998,76.0,[1]
291,164.92.237.199,784,751.0,112.996,[1]
292,164.92.237.199,784,634.991,103.998,[1]
293,176.103.134.35,784,786.998,113.0,[1]
294,176.103.134.35,784,638.998,118.999,[1]
295,176.103.134.35,8853,766.997,109.001,[1]
296,176.103.134.35,8853,651.993,114.0,[1]
297,158.101.12.70,784,694.999,71.0,[1]
298,176.103.134.35,853,784.998,250.033,[1]
299,158.101.12.70,784,605.999,73.001,[1]
300,37.114.32.99,784,832.999,154.0,[1]
301,176.103.134.35,853,651.006,109.047,[1]
302,37.114.32.99,784,637.997,97.959,[1]
303,168.138.41.35,784,854.996,172.997,[1]
304,92.205.63.135,784,108.999,110.975,[1]
305,168.138.41.35,784,882.992,178.997,[1]
306,92.205.63.135,784,715.998,107.998,[1]
307,20.205.127.129,784,980.996,239.999,[1]
308,20.205.127.129,784,968.999,223.039,[1]
309,52.169.109.90,784,664.001,70.996,[1]
310,52.169.109.90,784,674.999,67.002,[1]
311,178.254.32.28,784,771.999,95.001,[1]
312,178.254.32.28,784,933.0,99.997,[1]
313,94.140.14.141,784,877.005,111.99,[1]
314,94.140.14.141,784,796.997,119.0,[1]
315,94.140.14.141,8853,727.002,102.001,[1]
316,94.140.14.141,8853,621.999,96.0,[1]
317,94.140.14.141,853,715.012,92.037,[1]
318,94.140.14.141,853,716.0,96.046,[1]
319,35.156.129.204,784,721.996,87.001,[1]
320,35.156.129.204,784,737.995,121.003,[1]
321,176.103.130.132,784,594.996,33.002,[1]
322,176.103.130.132,784,558.0,31.998,[1]
323,176.103.130.132,8853,590.998,38.001,[1]
324,176.103.130.132,8853,556.003,31.999,[1]
325,176.103.130.132,853,607.991,32.998,[1]
326,176.103.130.132,853,553.999,29.039,[1]
327,37.114.32.80,784,754.995,100.035,[1]
328,37.114.32.80,784,760.998,101.0,[1]
329,45.147.54.7,784,790.0,79.002,[1]
330,45.147.54.7,784,782.994,80.002,[1]
331,129.154.226.9,784,957.997,206.001,[1]
332,129.154.226.9,784,948.999,210.997,[1]
333,132.226.217.133,784,730.997,105.035,[1]
334,132.226.217.133,784,633.996,105.0,[1]
335,94.140.14.15,784,760.998,99.0,[1]
336,94.140.14.15,784,725.999,135.002,[1]
337,94.140.14.15,8853,841.996,93.999,[1]
338,94.140.14.15,8853,709.999,95.0,[1]
339,94.140.14.15,853,698.998,93.0,[1]
340,94.140.14.15,853,726.982,93.034,[1]
341,94.140.14.14,784,723.001,99.002,[1]
342,94.140.14.14,784,620.996,94.001,[1]
343,94.140.14.14,8853,726.999,94.961,[1]
344,94.140.14.14,8853,619.995,92.996,[1]
345,94.140.14.14,853,707.999,97.002,[1]
346,94.140.14.14,853,746.998,97.992,[1]
347,51.15.75.165,784,806.997,86.012,[1]
348,51.15.75.165,784,702.998,85.999,[1]
349,87.106.168.61,784,925.001,122.003,[1]
350,87.106.168.61,784,663.996,105.033,[1]
351,198.74.127.117,784,659.999,82.003,[1]
352,198.74.127.117,784,628.003,97.0,[1]
353,185.253.5.9,8853,617.995,82.996,[1]
354,185.253.5.9,8853,647.999,155.001,[1]
355,152.67.8.163,784,233.01,201.999,[1]
356,152.67.8.163,784,945.996,207.998,[1]
357,3.9.78.39,784,961.999,81.998,[1]
358,3.9.78.39,784,874.003,84.995,[1]
359,152.69.223.63,784,118.996,255.999,[1]
360,152.69.223.63,784,173.001,247.0,[1]
361,104.248.118.244,784,719.0,31.992,[1]
362,104.248.118.244,784,713.001,9.999,[1]
363,50.116.59.251,784,665.997,13.999,[1]
364,50.116.59.251,784,952.998,7.003,[1]
365,135.125.169.4,784,51.671,89.999,[1]
366,135.125.169.4,784,926.0,92.998,[1]
367,94.140.14.59,784,757.994,165.0,[1]
368,94.140.14.59,784,727.999,96.0,[1]
369,94.140.14.59,8853,764.999,94.998,[1]
370,94.140.14.59,8853,743.992,94.004,[1]
371,94.140.14.59,853,778.999,90.982,[1]
372,94.140.14.59,853,743.0,96.999,[1]
373,67.205.154.232,784,557.001,15.0,[1]
374,67.205.154.232,784,690.003,27.997,[1]
375,131.186.63.141,784,28.998,158.001,[1]
376,131.186.63.141,784,780.002,166.039,[1]
377,15.184.189.254,784,46.022,184.0,[1]
378,15.184.189.254,784,114.997,174.999,[1]
379,159.65.149.35,784,489.0,409.999,[1]
380,159.65.149.35,784,13.997,266.0,[1]
381,103.179.45.33,784,901.002,170.0,[1]
382,103.179.45.33,784,915.995,167.999,[1]
383,150.230.103.62,784,935.0,173.002,[1]
384,150.230.103.62,784,726.997,164.002,[1]
385,131.186.62.203,784,693.998,164.0,[1]
386,131.186.62.203,784,705.997,171.037,[1]
387,120.55.44.44,784,78.996,387.0,[1]
388,120.55.44.44,784,877.998,228.999,[1]
389,94.237.42.60,8853,696.999,86.996,[1]
390,94.237.42.60,8853,621.0,82.041,[1]
391,46.8.194.61,784,867.997,155.96,[1]
392,46.8.194.61,784,79.999,134.0,[1]
393,176.103.130.137,784,631.997,36.997,[1]
394,176.103.130.137,784,588.997,33.998,[1]
395,176.103.130.137,8853,696.0,37.998,[1]
396,176.103.130.137,8853,578.001,32.002,[1]
397,176.103.130.137,853,628.003,32.996,[1]
398,176.103.130.137,853,586.997,30.999,[1]
399,43.154.154.162,784,67.001,224.999,[1]
400,43.154.154.162,784,743.997,255.042,[1]
401,91.239.27.199,784,791.998,133.001,[1]
402,91.239.27.199,784,698.997,135.001,[1]
403,212.86.101.213,784,720.997,91.044,[1]
404,212.86.101.213,784,654.999,96.997,[1]
405,193.123.244.234,784,970.999,218.037,[1]
406,193.123.244.234,784,933.0,217.001,[1]
407,161.129.152.196,784,727.997,48.04,[1]
408,194.67.121.139,784,806.999,288.996,[1]
409,161.129.152.196,784,685.997,51.996,[1]
410,194.67.121.139,784,777.998,130.042,[1]
411,94.140.14.49,784,726.997,92.996,[1]
412,94.140.14.49,784,734.999,98.997,[1]
413,94.140.14.49,8853,733.003,94.012,[1]
414,94.140.14.49,8853,609.001,95.0,[1]
415,94.140.14.49,853,812.999,93.997,[1]
416,176.103.130.150,784,684.995,36.997,[1]
417,94.140.14.49,853,720.001,94.003,[1]
418,176.103.130.150,784,561.998,51.0,[1]
419,176.103.130.150,8853,592.009,27.997,[1]
420,176.103.130.150,8853,546.998,65.999,[1]
421,176.103.130.150,853,600.994,29.997,[1]
422,138.2.89.57,784,201.996,234.998,[1]
423,176.103.130.150,853,596.0,41.997,[1]
424,138.2.89.57,784,787.0,342.996,[1]
425,140.83.52.87,784,913.002,170.0,[1]
426,140.83.52.87,784,855.999,176.996,[1]
427,83.212.102.207,784,865.001,138.001,[1]
428,83.212.102.207,784,840.999,134.999,[1]
429,31.172.70.135,784,829.999,97.0,[1]
430,31.172.70.135,784,790.999,151.0,[1]
431,132.145.217.93,8853,675.0,13.999,[1]
432,94.140.15.15,784,963.002,92.006,[1]
433,132.145.217.93,8853,581.997,13.001,[1]
434,104.199.26.56,784,714.996,84.001,[1]
435,94.140.15.15,784,741.0,95.996,[1]
436,104.199.26.56,784,872.996,85.0,[1]
437,94.140.15.15,8853,796.999,113.995,[1]
438,94.140.15.15,8853,645.999,92.004,[1]
439,94.140.15.15,853,755.999,93.002,[1]
440,94.140.15.15,853,756.001,93.996,[1]
441,45.13.106.8,784,765.003,111.963,[1]
442,45.13.106.8,784,681.995,102.002,[1]
443,193.110.81.0,8853,634.997,78.035,[1]
444,193.110.81.0,8853,631.999,83.999,[1]
445,176.103.130.131,784,639.997,31.998,[1]
446,176.103.130.131,784,687.999,35.999,[1]
447,164.90.245.136,784,803.996,71.013,[1]
448,176.103.130.131,8853,620.997,45.999,[1]
449,164.90.245.136,784,644.997,70.997,[1]
450,176.103.130.131,8853,581.998,29.998,[1]
451,176.103.130.131,853,637.001,34.997,[1]
452,176.103.130.131,853,604.997,34.0,[1]
453,176.103.134.135,784,835.997,116.0,[1]
454,176.103.134.135,784,786.998,109.009,[1]
455,176.103.134.135,8853,822.997,111.959,[1]
456,176.103.134.135,8853,735.997,116.997,[1]
457,176.103.134.135,853,927.998,123.001,[1]
458,176.103.134.135,853,723.0,117.001,[1]
459,168.138.169.197,784,316.996,252.975,[1]
460,168.138.169.197,784,375.991,236.005,[1]
461,176.103.134.5,784,25.011,114.0,[1]
462,176.103.134.5,784,694.438,114.0,[1]
463,176.103.134.5,8853,793.998,115.999,[1]
464,176.103.134.5,8853,677.998,116.039,[1]
465,176.103.134.5,853,812.0,116.004,[1]
466,176.103.134.5,853,747.997,114.996,[1]
467,154.49.211.118,784,742.999,91.049,[1]
468,154.49.211.118,784,634.996,82.997,[1]
469,38.242.12.100,784,615.002,14.001,[1]
470,38.242.12.100,784,617.003,13.999,[1]
471,146.56.160.153,784,936.995,204.999,[1]
472,146.56.160.153,784,834.053,197.997,[1]
473,147.189.137.154,784,600.229,20.999,[1]
474,185.253.5.1,8853,632.956,81.995,[1]
475,147.189.137.154,784,565.994,21.998,[1]
476,185.253.5.1,8853,632.998,80.008,[1]
477,158.101.178.190,784,751.001,93.002,[1]
478,158.101.178.190,784,132.996,100.001,[1]
